iter	Passed	Remaining
553	10628	8556
554	10648	8537
555	10666	8517
556	10685	8498
557	10704	8478
558	10722	8459
559	10741	8439
560	10759	8419
561	10777	8399
562	10795	8379
563	10818	8362
564	10837	8344
565	10854	8322
566	10870	8301
567	10889	8282
568	10909	8263
569	10930	8245
570	10947	8224
571	10964	8204
572	10983	8184
573	11002	8165
574	11022	8147
575	11038	8125
576	11059	8107
577	11078	8088
578	11098	8069
579	11117	8050
580	11134	8030
581	11154	8011
582	11172	7990
583	11191	7971
584	11211	7953
585	11227	7932
586	11247	7913
587	11264	7892
588	11284	7874
589	11301	7853
590	11319	7833
591	11336	7813
592	11353	7792
593	11372	7773
594	11391	7753
595	11408	7733
596	11424	7711
597	11442	7691
598	11459	7671
599	11477	7651
600	11496	7632
601	11513	7611
602	11529	7590
603	11546	7570
604	11563	7549
605	11581	7529
606	11599	7509
607	11614	7488
608	11630	7467
609	11647	7446
610	11665	7427
611	11684	7407
612	11701	7387
613	11718	7366
614	11734	7346
615	11750	7324
616	11767	7304
617	11782	7283
618	11800	7263
619	11817	7243
620	11838	7224
621	11852	7203
622	11869	7182
623	11885	7161
624	11901	7141
625	11917	7120
626	11935	7100
627	11950	7079
628	11967	7059
629	11986	7039
630	12003	7019
631	12020	6999
632	12034	6977
633	12049	6956
634	12066	6935
635	12083	6915
636	12099	6895
637	12117	6875
638	12133	6854
639	12151	6835
640	12167	6814
641	12183	6794
642	12199	6773
643	12216	6753
644	12234	6733
645	12250	6713
646	12266	6692
647	12282	6671
648	12297	6650
649	12314	6630
650	12331	6610
651	12348	6590
652	12362	6569
653	12380	6549
654	12398	6530
655	12415	6510
656	12431	6490
657	12448	6470
658	12462	6448
659	12479	6429
660	12497	6409
661	12516	6390
662	12533	6370
663	12548	6349
664	12563	6328
665	12579	6308
666	12598	6289
667	12614	6269
668	12630	6249
669	12644	6227
670	12660	6207
671	12676	6187
672	12693	6167
673	12708	6146
674	12725	6127
675	12741	6106
676	12758	6087
677	12775	6067
678	12792	6047
679	12810	6028
680	12827	6008
681	12846	5989
682	12862	5969
683	12878	5949
684	12893	5929
685	12910	5909
686	12928	5890
687	12942	5869
688	12958	5849
689	12975	5829
690	12991	5809
691	13010	5790
692	13027	5770
693	13044	5751
694	13062	5732
695	13078	5712
696	13095	5692
697	13111	5672
698	13128	5653
699	13146	5634
700	13161	5613
701	13177	5593
702	13193	5574
703	13211	5555
704	13227	5534
705	13242	5514
706	13260	5495
707	13278	5476
708	13295	5456
709	13314	5438
710	13328	5417
711	13344	5397
712	13358	5377
713	13374	5357
714	13391	5337
715	13407	5318
716	13425	5299
717	13443	5280
718	13460	5260
719	13477	5241
720	13495	5222
721	13512	5202
722	13527	5182
723	13544	5163
724	13561	5144
725	13578	5124
726	13594	5104
727	13609	5085
728	13626	5065
729	13642	5046
730	13658	5026
731	13675	5006
732	13692	4987
733	13708	4967
734	13724	4948
735	13743	4929
736	13761	4910
737	13777	4891
738	13793	4871
739	13809	4851
740	13824	4832
741	13838	4811
742	13854	4792
743	13873	4773
744	13889	4754
745	13906	4734
746	13923	4715
747	13942	4697
748	13958	4677
749	13975	4658
750	13991	4638
751	14009	4620
752	14027	4601
753	14044	4582
754	14060	4562
755	14076	4543
756	14089	4522
757	14106	4503
758	14122	4484
759	14139	4464
760	14156	4445
761	14172	4426
762	14189	4407
763	14204	4387
764	14222	4369
765	14234	4348
766	14252	4329
767	14271	4311
768	14287	4291
769	14305	4272
770	14321	4253
771	14335	4233
772	14352	4214
773	14370	4195
774	14386	4176
775	14402	4157
776	14418	4138
777	14435	4119
778	14450	4099
779	14465	4079
780	14482	4060
781	14499	4041
782	14514	4022
783	14532	4003
784	14548	3984
785	14565	3965
786	14582	3946
787	14598	3927
788	14614	3908
789	14632	3889
790	14649	3870
791	14664	3851
792	14681	3832
793	14695	3812
794	14710	3793
795	14725	3773
796	14742	3754
797	14758	3735
798	14773	3716
799	14787	3696
800	14805	3678
801	14821	3659
802	14840	3640
803	14855	3621
804	14871	3602
805	14889	3583
806	14906	3564
807	14923	3546
808	14938	3526
809	14953	3507
810	14969	3488
811	14984	3469
812	15001	3450
813	15018	3431
814	15034	3412
815	15050	3393
816	15066	3374
817	15083	3355
818	15100	3337
819	15116	3318
820	15133	3299
821	15151	3280
822	15167	3261
823	15184	3243
824	15200	3224
825	15216	3205
826	15233	3186
827	15249	3167
828	15265	3148
829	15282	3130
830	15297	3111
831	15312	3092
832	15327	3072
833	15341	3053
834	15356	3034
835	15373	3015
836	15386	2996
837	15401	2977
838	15417	2958
839	15434	2939
840	15451	2921
841	15466	2902
842	15485	2884
843	15500	2864
844	15515	2846
845	15531	2827
846	15549	2808
847	15564	2789
848	15581	2771
849	15596	2752
850	15612	2733
851	15629	2714
852	15644	2696
853	15664	2678
854	15682	2659
855	15697	2640
856	15714	2622
857	15728	2603
858	15745	2584
859	15759	2565
860	15776	2546
861	15791	2528
862	15809	2509
863	15825	2490
864	15839	2472
